"","x"
"1","ennio morricone"
"2","the beatles"
"3","bernard herrmann"
"4","johnny osbourne"
"5","sun ra"
"6","aphex twin"
"7","nino rota"
"8","keith hudson"
"9","john lennon"
"10","para one"
"11","sonic youth"
"12","duke ellington"
"13","mr. oizo"
"14","bruno nicolai"
"15","omar-s"
"16","john frusciante"
"17","serge gainsbourg"
"18","tim hecker"
"19","prince"
"20","doormouse"
"21","bob dylan"
"22","rahsaan roland kirk"
"23","afx"
"24","anthony braxton"
"25","arthur russell"
"26","ariel pinks haunted graffiti"
"27","the durutti column"
"28","the beach boys"
"29","glenn gould"
"30","jerry goldsmith"
"31","grouper"
"32","severed heads"
"33","the west coast pop art experimental band"
"34","dopplereffekt"
"35","deuter"
"36","bix beiderbecke"
"37","lee ""scratch"" perry"
"38","derrick may"
"39","the clientele"
"40","joy division"
"41","the national"
"42","the american analog set"
"43","galaxie 500"
"44","pixies"
"45","the radio dept."
"46","the church"
"47","the fall"
"48","nada surf"
"49","the field mice"
"50","popsicle"
"51","codeine"
"52","the verve"
"53","teenage fanclub"
"54","suede"
"55","the thermals"
"56","granada"
"57","interpol"
"58","tindersticks"
"59","editors"
"60","stereolab"
"61","slowdive"
"62","the lucksmiths"
"63","ride"
"64","silverbullit"
"65","minor threat"
"66","club 8"
"67","nirvana"
"68","secret shine"
"69","the house of love"
"70","oasis"
"71","echo & the bunnymen"
"72","spearmint"
"73","trembling blue stars"
"74","blur"
"75","death cab for cutie"
"76","airiel"
"77","talulah gosh"
"78","luna"
"79","the lemonheads"
"80","frank black"
"81","22-pistepirkko"
"82","the boo radleys"
"83","blueboy"
"84","the walkmen"
"85","supergrass"
"86","sun city girls"
"87","django reinhardt"
"88","bonnie 'prince' billy"
"89","frédéric chopin"
"90","thinking fellers union local 282"
"91","frank zappa"
"92","hella"
"93","distance"
"94","mice parade"
"95","lightning bolt"
"96","marnie stern"
"97","black lips"
"98","sir richard bishop"
"99","the jayhawks"
"100","polvo"
"101","olivier messiaen"
"102","sun kil moon"
"103","skream"
"104","drive-by truckers"
"105","black dice"
"106","shackleton"
"107","ruins"
"108","pharoah sanders"
"109","herbie hancock"
"110","dinosaur jr."
"111","zoviet france"
"112","monolake"
"113","public enemy"
"114","goblin"
"115","my morning jacket"
"116","ghostface"
"117","broken social scene"
"118","neil landstrumm"
"119","modest mouse"
"120","muslimgauze"
"121","lil wayne"
"122","burial"
"123","disrupt"
"124","band of horses"
"125","albert ayler"
"126","scorn"
"127","pinback"
"128","neutral milk hotel"
"129","ryan adams"
"130","black sabbath"
"131","sebadoh"
"132","arctic monkeys"
"133","the killers"
"134","patrick wolf"
"135","arcade fire"
"136","cansei de ser sexy"
"137","the white stripes"
"138","klaxons"
"139","the rakes"
"140","the libertines"
"141","clap your hands say yeah"
"142","she wants revenge"
"143","the hives"
"144","kasabian"
"145","placebo"
"146","franz ferdinand"
"147","shitdisco"
"148","bloc party"
"149","the bravery"
"150","the subways"
"151","art brut"
"152","maxïmo park"
"153","the strokes"
"154","dirty pretty things"
"155","babyshambles"
"156","black rebel motorcycle club"
"157","of montreal"
"158","the kinks"
"159","juliette and the licks"
"160","hot hot heat"
"161","these new puritans"
"162","muse"
"163","milburn"
"164","beirut"
"165","the cribs"
"166","the raconteurs"
"167","radiohead"
"168","los campesinos!"
"169","the young knives"
"170","mgmt"
"171","the new pornographers"
"172","louis xiv"
"173","be your own pet"
"174","the fratellis"
"175","dead can dance"
"176","antimatter"
"177","star of ash"
"178","juno reactor"
"179","cinema strange"
"180","ulver"
"181","lisa gerrard"
"182","diary of dreams"
"183","arcturus"
"184","anathema"
"185","diva destruction"
"186","rammstein"
"187","the 3rd and the mortal"
"188","and also the trees"
"189","massive attack"
"190","elend"
"191","peccatum"
"192","sopor aeternus"
"193","the deadfly ensemble"
"194","iamx"
"195","johnny hollow"
"196","christian death"
"197","mr. bungle"
"198","in the nursery"
"199","emperor"
"200","irfan"
"201","ephel duath"
"202","susperia"
"203","the retrosic"
"204","Ásmegin"
"205","john 5"
"206","ihsahn"
"207","depeche mode"
"208","röyksopp"
"209","testament"
"210","head control system"
"211","edge of dawn"
"212","kaizers orchestra"
"213","the drones"
"214","psyclon nine"
"215","corpus delicti"
"216","ram-zet"
"217","asphyxia"
"218","sting"
"219","gary jules"
"220","t.i."
"221","ramones"
"222","the game"
"223","gnarls barkley"
"224","kanye west"
"225","crooked fingers"
"226","coldplay"
"227","akon"
"228","eminem"
"229","the offspring"
"230","billy joel"
"231","britney spears"
"232","dmx"
"233","dr. dre"
"234","d12"
"235","ludacris"
"236","lupe fiasco"
"237","three 6 mafia"
"238","nas"
"239","shop boyz"
"240","the brian jonestown massacre"
"241","belle and sebastian"
"242","cassidy"
"243","outkast"
"244","lil jon & the east side boyz"
"245","fabolous"
"246","sigur rós"
"247","obie trice"
"248","beck"
"249","the olivia tremor control"
"250","manic street preachers"
"251","the magnetic fields"
"252","the decemberists"
"253","the streets"
"254","the trashmen"
"255","jay-z"
"256","royce da 59"""
"257","spineshank"
"258","cake"
"259","starlight mints"
"260","the smiths"
"261","くるり"
"262","スガシカオ"
"263","the yellow monkey"
"264","paul weller"
"265","boowy"
"266","joão gilberto"
"267","neil young"
"268","antônio carlos jobim"
"269","stan getz"
"270","チャットモンチー"
"271","mr.children"
"272","frank sinatra"
"273","bill evans"
"274","the clash"
"275","judy and mary"
"276","john coltrane"
"277","led zeppelin"
"278","portishead"
"279","ego-wrappin"
"280","asian kung-fu generation"
"281","ellegarden"
"282","david bowie"
"283","つじあやの"
"284","bump of chicken"
"285","サニーデイ・サービス"
"286","green day"
"287","rei harakami"
"288","aimee mann"
"289","the view"
"290","norah jones"
"291","supercar"
"292","queen"
"293","silversun pickups"
"294","isan"
"295","nine inch nails"
"296","mudvayne"
"297","sasha & john digweed"
"298","boards of canada"
"299","tool"
"300","dieselboy"
"301","iron & wine"
"302","underworld"
"303","sasha"
"304","pink floyd"
"305","the black keys"
"306","the knife"
"307","unkle"
"308","plastikman"
"309","enigma"
"310","stone temple pilots"
"311","steve miller band"
"312","bassnectar"
"313","disturbed"
"314","múm"
"315","a perfect circle"
"316","squarepusher"
"317","air"
"318","prefuse 73"
"319","pearl jam"
"320","machine drum"
"321","autechre"
"322","red hot chili peppers"
"323","easy star all-stars"
"324","girl talk"
"325","stevie ray vaughan"
"326","linkin park"
"327","markus guentner"
"328","thom yorke"
"329","thievery corporation"
"330","!!!"
"331","staind"
"332","m.i.a."
"333","styx"
"334","sound tribe sector 9"
"335","buckcherry"
"336","snow patrol"
"337","pink"
"338","razorlight"
"339","eels"
"340","groove armada"
"341","spoon"
"342","jamiroquai"
"343","the last shadow puppets"
"344","josé gonzález"
"345","the dears"
"346","hard-fi"
"347","the rifles"
"348","the smashing pumpkins"
"349","guillemots"
"350","feeder"
"351","mylo"
"352","the thrills"
"353","my chemical romance"
"354","the zutons"
"355","the avalanches"
"356","mogwai"
"357","dimitri from paris"
"358","the fray"
"359","a guy called gerald"
"360","longpigs"
"361","the magic numbers"
"362","athlete"
"363","the feeling"
"364","the posies"
"365","funeral for a friend"
"366","p!nk"
"367","suicidal tendencies"
"368","black flag"
"369","nekromantix"
"370","operation ivy"
"371","sublime"
"372","smut peddlers"
"373","municipal waste"
"374","metallica"
"375","slayer"
"376","reverend horton heat"
"377","warbringer"
"378","dead kennedys"
"379","toots and the maytals"
"380","tim armstrong"
"381","bad brains"
"382","the germs"
"383","circle jerks"
"384","stray cats"
"385","the stooges"
"386","os catalépticos"
"387","demented are go!"
"388","t.s.o.l."
"389","iggy pop"
"390","the aggrolites"
"391","streetlight manifesto"
"392","the specials"
"393","catch 22"
"394","gorilla biscuits"
"395","rancid"
"396","adolescents"
"397","cro-mags"
"398","choking victim"
"399","children of bodom"
"400","koffin kats"
"401","agnostic front"
"402","d.r.i."
"403","klingonz"
"404","agent orange"
"405","iron maiden"
"406","reel big fish"
"407","ss decontrol"
"408","infectious grooves"
"409","s.o.d."
"410","anthrax"
"411","gogol bordello"
"412","the exies"
"413","bad religion"
"414","lemon demon"
"415","system of a down"
"416","span"
"417","michael andrews"
"418","dope"
"419","megadeth"
"420","amen"
"421","alice in chains"
"422","dry kill logic"
"423","reggie and the full effect"
"424","machine head"
"425","clint mansell"
"426","fear factory"
"427","jimmy eat world"
"428","rise against"
"429","crash test dummies"
"430","levellers"
"431","damien dempsey"
"432","danny elfman"
"433","nonpoint"
"434","less than jake"
"435","idlewild"
"436","the ink spots"
"437","sepultura"
"438","dragonforce"
"439","sevendust"
"440","johnny cash"
"441","goldfinger"
"442","pantera"
"443","louis armstrong"
"444","barenaked ladies"
"445","static-x"
"446","monster magnet"
"447","inxs"
"448","duran duran"
"449","garbage"
"450","cypress hill"
"451","orchestral manoeuvres in the dark"
"452","eurythmics"
"453","simple minds"
"454","beastie boys"
"455","kraftwerk"
"456","bonobo"
"457","the smithereens"
"458","devo"
"459","ulrich schnauss"
"460","björk"
"461","bent"
"462","jimi hendrix"
"463","9 lazy 9"
"464","orbital"
"465","howard jones"
"466","fatboy slim"
"467","roots manuva"
"468","steely dan"
"469","the cure"
"470","rage against the machine"
"471","filter"
"472","amon tobin"
"473","the crystal method"
"474","electric light orchestra"
"475","the who"
"476","daft punk"
"477","monoral"
"478","the chemical brothers"
"479","blockhead"
"480","nina simone"
"481","james morrison"
"482","nlt"
"483","family force 5"
"484","sam sparro"
"485","robin thicke"
"486","fall out boy"
"487","kings of leon"
"488","3oh!3"
"489","metro station"
"490","chris brown"
"491","justin nozuka"
"492","*nsync"
"493","justin timberlake"
"494","michael jackson"
"495","jesse mccartney"
"496","lady gaga"
"497","usher"
"498","onerepublic"
"499","gavin degraw"
"500","five"
"501","john mayer"
"502","cartel"
"503","maroon 5"
"504","anarbor"
"505","backstreet boys"
"506","panic at the disco"
"507","a rocket to the moon"
"508","rihanna"
"509","the cab"
"510","danity kane"
"511","john legend"
"512","my favorite highway"
"513","sugarcult"
"514","50 cent"
"515","shayne ward"
"516","j. holiday"
"517","timbaland"
"518","switchfoot"
"519","demi lovato"
"520","yellowcard"
"521","ne-yo"
"522","keri hilson"
"523","common"
"524","ryan cabrera"
"525","jonas brothers"
"526","veil of maya"
"527","misery signals"
"528","august burns red"
"529","the black dahlia murder"
"530","heaven shall burn"
"531","killswitch engage"
"532","in flames"
"533","the duskfall"
"534","as i lay dying"
"535","unearth"
"536","parkway drive"
"537","all shall perish"
"538","for the fallen dreams"
"539","underoath"
"540","neaera"
"541","disarmonia mundi"
"542","a love ends suicide"
"543","caliban"
"544","kataklysm"
"545","katatonia"
"546","shai hulud"
"547","illdisposed"
"548","becoming the archetype"
